qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
477	Ensemble3	0.624997	0.064367	0.510749	0.036565	0.092596	-0.008566	0.291618	0.023627	0.149830	0.016846
477	Four-d2-b2-m1-g1	0.658053	0.097422	0.570737	0.096553	0.092772	-0.008389	0.291618	0.023627	0.150498	0.017514
477	Four-d4-b2-m1-g1	0.623796	0.063165	0.527858	0.053674	0.101701	0.000539	0.291618	0.023627	0.152822	0.019838
477	Four-d4-b4-m1-g1	0.620890	0.060259	0.516730	0.042546	0.103403	0.002242	0.293144	0.025153	0.150948	0.017964
477	Four-d4-b4-m05-g1	0.613397	0.052767	0.519053	0.044869	0.102512	0.001350	0.291847	0.023856	0.149671	0.016687
477	Four-d4-b6-m1-g1	0.626891	0.066260	0.527761	0.053577	0.101242	0.000080	0.293630	0.025639	0.149444	0.016460
477	Four-d6-b4-m1-g1	0.617765	0.057135	0.514480	0.040296	0.104524	0.003362	0.291618	0.023627	0.151400	0.018416
499	BM25	0.689916	0.000000	0.704472	0.000000	0.127959	0.000000	0.542132	0.000000	0.392382	0.000000
499	DeepSeek-RRF	0.690304	0.000388	0.675975	-0.028497	0.123981	-0.003979	0.556203	0.014071	0.415509	0.023127
499	BGE-o2	0.777392	0.087476	0.735168	0.030696	0.115129	-0.012830	0.556203	0.014071	0.400409	0.008027
499	Ensemble3	0.743088	0.053172	0.760055	0.055583	0.123590	-0.004369	0.556203	0.014071	0.406624	0.014242
499	Four-d2-b2-m1-g1	0.796080	0.106164	0.774197	0.069725	0.121644	-0.006315	0.556203	0.014071	0.409908	0.017526
499	Four-d4-b2-m1-g1	0.720896	0.030980	0.750575	0.046103	0.125379	-0.002580	0.556203	0.014071	0.416034	0.023652
499	Four-d4-b4-m1-g1	0.708866	0.018950	0.733305	0.028833	0.124371	-0.003588	0.556203	0.014071	0.417613	0.025231
499	Four-d4-b4-m05-g1	0.707433	0.017517	0.724549	0.020078	0.125466	-0.002493	0.557054	0.014922	0.418408	0.026026
499	Four-d4-b6-m1-g1	0.715698	0.025782	0.732868	0.028396	0.126474	-0.001485	0.559165	0.017033	0.418144	0.025762
499	Four-d6-b4-m1-g1	0.712689	0.022773	0.727190	0.022719	0.124832	-0.003128	0.556203	0.014071	0.419335	0.026953
515	BM25	0.289521	0.000000	0.310660	0.000000	0.058788	0.000000	0.119860	0.000000	0.053729	0.000000
515	DeepSeek-RRF	0.299076	0.009555	0.303801	-0.006859	0.053693	-0.005096	0.202320	0.082460	0.073447	0.019718
515	BGE-o2	0.289693	0.000172	0.310528	-0.000132	0.057206	-0.001582	0.202320	0.082460	0.079879	0.026150
515	Ensemble3	0.290529	0.001008	0.312375	0.001715	0.060181	0.001393	0.202320	0.082460	0.080037	0.026308
515	Four-d2-b2-m1-g1	0.298823	0.009302	0.306277	-0.004383	0.060461	0.001673	0.202320	0.082460	0.076876	0.023147
515	Four-d4-b2-m1-g1	0.304068	0.014547	0.306343	-0.004317	0.055631	-0.003157	0.202320	0.082460	0.076487	0.022758
515	Four-d4-b4-m1-g1	0.290183	0.000662	0.305761	-0.004899	0.057045	-0.001743	0.202320	0.082460	0.073483	0.019754
515	Four-d4-b4-m05-g1	0.289104	-0.000417	0.305192	-0.005468	0.056289	-0.002499	0.201186	0.081326	0.072198	0.018469
515	Four-d4-b6-m1-g1	0.288603	-0.000918	0.304930	-0.005730	0.057374	-0.001414	0.195173	0.075313	0.070460	0.016731
515	Four-d6-b4-m1-g1	0.301042	0.011521	0.301396	-0.009264	0.055533	-0.003255	0.202320	0.082460	0.073553	0.019824
707	BM25	0.333070	0.000000	0.340761	0.000000	0.098421	0.000000	0.196782	0.000000	0.096517	0.000000
707	DeepSeek-RRF	0.385655	0.052585	0.390975	0.050214	0.101566	0.003146	0.297690	0.100909	0.148732	0.052214
707	BGE-o2	0.408866	0.075797	0.403193	0.062432	0.105567	0.007147	0.297690	0.100909	0.173476	0.076959
707	Ensemble3	0.418772	0.085703	0.410969	0.070208	0.096349	-0.002072	0.297690	0.100909	0.159878	0.063360
707	Four-d2-b2-m1-g1	0.370428	0.037358	0.413680	0.072919	0.093421	-0.005000	0.297690	0.100909	0.144766	0.048249
707	Four-d4-b2-m1-g1	0.370620	0.037551	0.388024	0.047263	0.099727	0.001306	0.297690	0.100909	0.148110	0.051593
707	Four-d4-b4-m1-g1	0.362819	0.029750	0.376008	0.035247	0.098757	0.000336	0.296770	0.099989	0.139692	0.043175
707	Four-d4-b4-m05-g1	0.364529	0.031460	0.376923	0.036162	0.098757	0.000336	0.295282	0.098500	0.139661	0.043143
707	Four-d4-b6-m1-g1	0.370555	0.037486	0.389740	0.048979	0.100246	0.001825	0.297339	0.100557	0.135559	0.039042
