qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
407	BGE-o2	0.387131	0.101713	0.386520	0.052917	0.111913	-0.000959	0.262441	-0.008466	0.088372	0.015559
407	BGE-o4	0.294931	0.009513	0.348595	0.014992	0.106242	-0.006630	0.262441	-0.008466	0.081200	0.008387
407	BGE-o8	0.249206	-0.036212	0.301207	-0.032396	0.102823	-0.010049	0.262441	-0.008466	0.076030	0.003217
477	BM25	0.560631	0.000000	0.474184	0.000000	0.101161	0.000000	0.267991	0.000000	0.132984	0.000000
477	DeepSeek-RRF	0.486585	-0.074046	0.469074	-0.005110	0.101701	0.000539	0.291618	0.023627	0.148935	0.015952
477	MiniLM-o4	0.623857	0.063227	0.514771	0.040587	0.100890	-0.000272	0.291618	0.023627	0.153594	0.020610
477	BGE-o1	0.651680	0.091049	0.501067	0.026882	0.071429	-0.029732	0.291618	0.023627	0.128902	-0.004082
477	BGE-o2	0.616883	0.056252	0.552999	0.078814	0.090584	-0.010578	0.291618	0.023627	0.146423	0.013439
477	BGE-o4	0.610841	0.050210	0.505061	0.030877	0.101295	0.000134	0.291618	0.023627	0.151747	0.018763
477	BGE-o8	0.600117	0.039487	0.489132	0.014947	0.101701	0.000539	0.291618	0.023627	0.150905	0.017922
499	BM25	0.689916	0.000000	0.704472	0.000000	0.127959	0.000000	0.542132	0.000000	0.392382	0.000000
499	DeepSeek-RRF	0.690304	0.000388	0.675975	-0.028497	0.123981	-0.003979	0.556203	0.014071	0.415509	0.023127
499	MiniLM-o4	0.703099	0.013183	0.706832	0.002361	0.122739	-0.005221	0.556203	0.014071	0.415322	0.022940
499	BGE-o1	0.743105	0.053189	0.738245	0.033773	0.106808	-0.021152	0.556203	0.014071	0.376552	-0.015830
499	BGE-o2	0.777392	0.087476	0.735168	0.030696	0.115129	-0.012830	0.556203	0.014071	0.400409	0.008027
499	BGE-o4	0.739560	0.049644	0.727382	0.022910	0.122278	-0.005681	0.556203	0.014071	0.411942	0.019560
499	BGE-o8	0.693173	0.003257	0.688117	-0.016355	0.123981	-0.003979	0.556203	0.014071	0.415832	0.023450
515	BM25	0.289521	0.000000	0.310660	0.000000	0.058788	0.000000	0.119860	0.000000	0.053729	0.000000
515	DeepSeek-RRF	0.299076	0.009555	0.303801	-0.006859	0.053693	-0.005096	0.202320	0.082460	0.073447	0.019718
515	MiniLM-o4	0.292301	0.002780	0.294202	-0.016458	0.054448	-0.004340	0.202320	0.082460	0.077627	0.023898
515	BGE-o1	0.284269	-0.005252	0.283272	-0.027388	0.052209	-0.006579	0.202320	0.082460	0.075863	0.022133
515	BGE-o2	0.289693	0.000172	0.310528	-0.000132	0.057206	-0.001582	0.202320	0.082460	0.079879	0.026150
515	BGE-o4	0.300794	0.011273	0.302498	-0.008162	0.057668	-0.001120	0.202320	0.082460	0.078322	0.024593
515	BGE-o8	0.299194	0.009673	0.303798	-0.006862	0.054924	-0.003864	0.202320	0.082460	0.076294	0.022565
707	BM25	0.333070	0.000000	0.340761	0.000000	0.098421	0.000000	0.196782	0.000000	0.096517	0.000000
707	DeepSeek-RRF	0.385655	0.052585	0.390975	0.050214	0.101566	0.003146	0.297690	0.100909	0.148732	0.052214
707	MiniLM-o4	0.341528	0.008459	0.395284	0.054523	0.101734	0.003314	0.297690	0.100909	0.146009	0.049492
707	BGE-o1	0.400327	0.067258	0.425340	0.084579	0.095483	-0.002938	0.297690	0.100909	0.171216	0.074698
