qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
225	BM25	0.456614	0.000000	0.473075	0.000000	0.118465	0.000000	0.456819	0.000000	0.285261	0.000000
225	MiniLM-o4	0.526202	0.069588	0.512826	0.039751	0.103455	-0.015010	0.394274	-0.062545	0.245028	-0.040233
225	BGE-o2	0.521281	0.064666	0.517560	0.044485	0.093003	-0.025462	0.394274	-0.062545	0.238287	-0.046974
225	BGE-o4	0.544731	0.088117	0.524215	0.051140	0.103068	-0.015397	0.394274	-0.062545	0.245718	-0.039542
225	Ensemble-o4-m1-b1	0.529112	0.072498	0.514518	0.041443	0.097990	-0.020475	0.394274	-0.062545	0.240480	-0.044781
225	Ensemble-o6-m1-b1	0.529900	0.073285	0.515595	0.042520	0.104401	-0.014064	0.394274	-0.062545	0.244968	-0.040293
225	Ensemble-o8-m1-b1	0.530068	0.073454	0.515380	0.042305	0.107067	-0.011398	0.394274	-0.062545	0.246577	-0.038684
225	Ensemble-o4-m05-b1	0.527026	0.070411	0.514469	0.041394	0.099669	-0.018796	0.394274	-0.062545	0.244163	-0.041098
225	Ensemble-o4-m1-b05	0.523475	0.066861	0.518661	0.045586	0.103455	-0.015010	0.394274	-0.062545	0.243607	-0.041654
225	Ensemble-o6-m05-b1	0.528703	0.072089	0.514571	0.041496	0.103068	-0.015397	0.394274	-0.062545	0.246551	-0.038710
233	BM25	0.606769	0.000000	0.625305	0.000000	0.082647	0.000000	0.246714	0.000000	0.134831	0.000000
233	MiniLM-o4	0.733791	0.127022	0.680222	0.054917	0.087409	0.004762	0.329725	0.083011	0.229989	0.095159
233	BGE-o2	0.736556	0.129787	0.709403	0.084098	0.087615	0.004968	0.329725	0.083011	0.224609	0.089778
233	BGE-o4	0.751915	0.145146	0.693680	0.068375	0.088141	0.005494	0.329725	0.083011	0.227414	0.092583
233	Ensemble-o4-m1-b1	0.710643	0.103874	0.699076	0.073771	0.088256	0.005609	0.329725	0.083011	0.229145	0.094314
233	Ensemble-o6-m1-b1	0.739860	0.133091	0.692769	0.067464	0.087077	0.004429	0.329725	0.083011	0.229789	0.094959
233	Ensemble-o8-m1-b1	0.733178	0.126408	0.688488	0.063183	0.087077	0.004429	0.329725	0.083011	0.229214	0.094383
233	Ensemble-o4-m05-b1	0.728550	0.121781	0.692722	0.067417	0.087077	0.004429	0.329725	0.083011	0.228924	0.094093
233	Ensemble-o4-m1-b05	0.712005	0.105236	0.683401	0.058096	0.087077	0.004429	0.329725	0.083011	0.230112	0.095282
233	Ensemble-o6-m05-b1	0.728262	0.121493	0.692359	0.067054	0.089206	0.006559	0.329725	0.083011	0.228886	0.094056
273	BM25	0.396020	0.000000	0.361430	0.000000	0.107417	0.000000	0.209082	0.000000	0.087577	0.000000
273	MiniLM-o4	0.520643	0.124624	0.415565	0.054135	0.098940	-0.008478	0.251931	0.042849	0.111219	0.023642
273	BGE-o2	0.563442	0.167423	0.469816	0.108386	0.103277	-0.004141	0.251931	0.042849	0.112901	0.025323
